level,reading,writing,page,column,entry_no,needs_review,review_reason
N2,あっしゅく,圧縮,447,right,02,,
N2,けんびきょう,顕微鏡,448,left,63,,
N2,しょうめい,照明,448,left,00,,
N2,スイッチ,switch,448,left,05,,
N2,スピーカー,speaker,448,left,00,,
N2,たちあがる,立ち上がる,448,left,,,
N2,ビデオ,video,448,right,09,,
N2,ふくしゃ,複写,448,right,00,,
N2,プリント,print,448,right,01,,
N2,ぼうえんきょう,望遠鏡,448,right,02,,
N2,レンズ,(荷)lens,448,right,03,,
N2,いちりゅう,一流,449,left,01,,
N2,うちあわせ,打ち合わせ,449,left,02,,
N2,うちあわせる,打ち合わせ,449,left,03,,
N2,うむ,有無,449,left,04,,
N2,えんき,延期,449,left,05,,
N2,おうせつ,応接,449,right,06,,
N2,かつりょく,活力,449,right,07,,
N2,かねる,兼ねる,449,right,08,,
N2,きにゅう,記入,449,right,09,,
N2,きばん,基盤,449,right,10,,
N2,きゅうか,休暇,449,right,11,,
N2,きゅうぎょう,休業,450,left,,,
N2,きゅうじょ,救助,450,left,13,,
N2,くみあい,組合,450,left,14,,
N2,けんしゅう,研修,450,left,05,,
N2,こうぞう,構造,450,left,01,,
N2,こうたい,交替,450,left,,,
N2,こうどう,行動,450,right,08,,
N2,こしかけ,腰掛け,450,right,09,,
N2,ころがる,転がる,450,right,00,,
N2,さいしゅうてき,最終的,450,right,31,,
N2,さいそく,催促,450,right,22,,
N2,さぎょう,作業,450,right,23,,
N2,しきゅう,至急,451,left,24,1,duplicate_reading
N2,しじ,指示,451,left,25,,
N2,じっせき,実績,451,left,26,,
N2,じむ,事務,451,left,27,,
N2,しめきる,締切る,451,left,28,,
N2,じゅうし,重視,451,left,29,,
N2,しゅっきん,出勤,451,left,30,,
N2,しゅっちょう,出張,451,right,31,,
N2,じんじ,人事,451,right,04,,
N2,せいそう,清掃,451,right,36,,
N2,そうべつ,送別,452,left,38,,
N2,そしき,組織,452,left,03,,
N2,たいする,対する,452,left,40,,
N2,たんとう,担当,452,left,41,,
N2,ちょうせい,調整,452,right,03,,
N2,つとめ,勤め,452,right,04,1,duplicate_reading
N2,つとめる,務める,452,right,45,1,duplicate_reading
N2,つぶれる,潰れる,452,right,06,,
N2,でいり,出入り,452,right,07,,
N2,どくとく,独特,453,left,09,,
N2,とる,採る,453,left,50,1,duplicate_reading
N2,にがす,逃がす,453,left,51,,
N2,にゅうしゃ,入社,453,left,52,,
N2,のうりつ,人能率,453,left,53,,
N2,はっき,発揮,453,left,54,,
N2,ふせい,不正,453,right,57,,
N2,プラン,plan,453,right,58,,
N2,ほうる,放る,453,right,09,,
N2,ほんらい,本来,453,right,60,,
N2,やとう,雇う,454,left,63,,
N2,ようじ,用事,454,left,04,,
N2,りゅう,流,454,left,65,,
N2,ろうどう,労働,454,left,,,
N2,がいぶ,外部,454,right,01,,
N2,けいび,警備,454,right,02,,
N2,しほん,資本,454,right,03,,
N2,しょうぎょう,商業,454,right,04,,
N2,しょうぼう,消防,454,right,05,,
N2,しょくぎょう,職業,455,left,07,,
N2,しょくば,職場,455,left,08,,
N2,ちゃんと,ちゃんと,455,left,09,,
N2,つまずく,躓く,455,left,10,,
N2,はってん,発展,455,left,11,,
N2,しゅうにん,就任,455,right,02,,
N2,じゅうやく,重役,455,right,03,,
N2,そうとう,相当,455,right,04,,
N2,ちい,地位,455,right,08,,
N2,どうかく,同格,455,right,07,,
N2,とどまる,留まる,456,left,08,,
N2,めいじる・めいずる,命じる・命ずる,456,left,09,,
N2,ゆうのう,有能,456,left,,,
N2,リード,lead,456,left,01,,
N2,かじ,家事,456,left,,,
N2,つかい,使い,456,left,02,,
N2,てま,手間,456,right,03,,
N2,にっか,日課,456,right,04,,
N2,はく,掃く,456,right,05,1,duplicate_reading
N2,ほす,干す,456,right,06,,
N2,オートメーション,automati,457,left,01,,
N2,かんり,管理,457,left,02,,
N2,きのう,機能,457,left,03,,
N2,けっかん,欠陥,457,left,04,,
N2,げんさん,原産,457,left,05,,
N2,こうば,工場,457,right,07,,
N2,さかり,盛り,457,right,08,,
N2,じんぞう,人造,457,right,00,,
N2,ストップ,stop,458,left,,,
N2,せいぞう,製造,458,left,12,,
N2,だいいち,第一,458,left,13,,
N2,でんし,電子,458,left,15,,
N2,みやげ,土産,458,right,07,,
N2,ぎょぎょう,漁業,458,right,01,,
N2,さんち,産地,458,right,02,,
N2,しゅうかく,収穫,458,right,03,,
N2,すいさん,水産,458,right,04,,
N2,たうえ,田植え,459,left,0e,,
N2,たがやす,耕す,459,left,07,,
N2,たんぼ,田んぼ,459,left,08,,
N2,のうさんぶつ,農産物,459,left,09,,
N2,のうそん,農村,459,left,10,,
N2,のうやく,農薬,459,left,11,,
N2,はたけ,畑,459,right,12,,
N2,ほかく,捕獲,459,right,13,,
N2,ぼくじょう,牧場,459,right,04,,
N2,えんとつ,煙突,459,right,01,,
N2,かんりょう,完了,460,left,08,,
N2,げんば,現場,460,left,,,
N2,せっけい,設計,460,right,,,
N2,そうおん,騒音,460,right,,,
N2,ぞうせん,造船,460,right,,,
N2,たんこう,炭鉱,460,right,,,
N2,ちゃくちゃく,着々,460,right,,,
N2,てっきょう,鉄橋,460,right,,,
N2,てっこう,鉄鋼,461,left,14,,
N2,ほる,掘る,461,left,15,,
N2,みぞ,溝,461,right,16,,
N2,やかましい,喧しい,461,right,07,,
N2,あんてい,安定,462,left,01,,
N2,かいほう,開放,462,left,03,1,duplicate_reading
N2,かぜい,課税,462,left,04,,
N2,きんゆう,金融,462,left,05,,
N2,けいき,景気,462,right,06,,
N2,けいこう,傾向,462,right,07,,
N2,さんにゅう,参入,462,right,08,,
N2,しげき,刺激,462,right,09,,
N2,マーケット,market,463,left,11,,
N2,うけたまわる,承る,463,left,01,,
N2,うけとり,受け取り,463,left,02,,
N2,うけとる,受け取る,463,left,03,,
N2,おろす,卸す,463,left,04,,
N2,かぶ,株,463,left,05,,
N2,きょうきゅう,供給,463,right,07,,
N2,しょめい,署名,463,right,0g,,
N2,てつづき,手続き,463,right,09,,
N2,ふとう,不当,463,right,10,,
N2,うりきれ,売り切れ,463,right,01,,
N2,うりきれる,売り切れる,463,right,02,,
N2,うれゆき,売れ行き,464,left,09,,
N2,うれる,売れる,464,left,00,,
N2,かんじょう,勘定,464,left,05,1,duplicate_reading
N2,だいきん,代金,464,left,07,,
N2,とくばい,特売,464,right,09,,
N2,のこり,残り,464,right,00,,
N2,ばいばい,売買,464,right,01,,
N2,はつばい,発売,464,right,,,
N2,はんばい,販売,464,right,03,,
N2,わりぴき,割引,464,right,04,,
N2,かかく,価格,465,left,01,,
N2,がく,額,465,left,02,1,duplicate_reading
N2,かち,価値,465,left,03,,
N2,こうか,高価,465,left,04,1,duplicate_reading
N2,すいじゅん,水準,465,left,05,,
N2,それなり,それなり,465,left,0e,,
N2,ていか,定価,465,right,07,1,duplicate_reading
N2,てごろ,手頃,465,right,08,,
N2,むりょう,無料,465,right,10,,
N2,ゆうりょう,有料,465,right,11,,
N2,りょうきん,料金,465,right,12,,
N2,りょうしゅう,領収,465,right,13,,
N2,うりあげ,売り上げ,466,left,01,,
N2,しょうひん,賞品,466,left,03,,
N2,せいきゅう,請求,466,left,04,,
N2,せおう,背負う,466,left,05,,
N2,そんがい,損害,466,right,07,,
N2,そんしつ,損失,466,right,03,,
N2,そんとく,損得,466,right,,,
N2,てっする,徹する,466,right,,,
